Financial Year,Lot No.,Location,Disposal Type,User,Premium,Site Area (sm),District Council,Award Date,Remarks
2022/2023,KOWLOON INLAND LOT NO. 11273,JUNCTION OF SAI YEE STREET AND ARGYLE STREET MONG KOK KOWLOON,TENDER,COMMERCIAL,4729,11537,YAU TSIM MONG,1-Mar-23,null
2022/2023,RURAL BUILDING LOT NO. 1221,CHUNG HOM KOK HONG KONG,TENDER,EXTERNAL TELECOMMUNICATIONS STATION,80,1649.6,SOUTHERN,1-Mar-23,null
2022/2023,TSUEN WAN TOWN LOT NO. 427,PO FUNG ROAD TSUEN WAN NEW TERRITORIES,TENDER,RESIDENTIAL,1438.8,8360,TSUEN WAN,15-Feb-23,null
2022/2023,NEW KOWLOON INLAND LOT NO. 6649,KAI TAK AREA 2A SITE 4 SITE 5(B) AND SITE 10 KAI TAK KOWLOON,TENDER,RESIDENTIAL,8703,19919,KOWLOON CITY,21-Dec-22,null
2022/2023,RURAL BUILDING LOT NO. 1204,CAPE ROAD STANLEY HONG KONG,TENDER,RESIDENTIAL,---------,---------,SOUTHERN,10-Jan-23,Tender Cancelled on 10 January 2023
2022/2023,TUEN MUN TOWN LOT NO. 561,CASTLE PEAK ROAD – TAI LAM TUEN MUN,TENDER,RESIDENTIAL,---------,---------,TUEN MUN,---------,Tender Cancelled on 26 April 2022
2022/2023,KWAI CHUNG TOWN LOT NO. 515,LAI KONG STREET KWAI CHUNG NEW TERRITORIES,TENDER,RESIDENTIAL,1100,3880,KWAI TSING,15-Nov-22,null
2022/2023,LOT NO. 1077 IN SURVEY DISTRICT NO. 3,OFF ANDERSON ROAD KWUN TONG KOWLOON,TENDER,COMMERCIAL,296,5330,SAI KUNG,23-Nov-22,null
2022/2023,INLAND LOT NO. 9069,SAI NING STREET AND VICTORIA ROAD KENNEDY TOWN HONG KONG,TENDER,RESIDENTIAL,439.299,537,CENTRAL & WESTERN,9-Nov-22,null
2022/2023,TUEN MUN TOWN LOT NO. 561,CASTLE PEAK ROAD – TAI LAM TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL,4601,33713,TUEN MUN,5-Oct-22,null
2022/2023,SHA TIN TOWN LOT NO. 643,Hin Wo Lane Sha Tin New Territories,TENDER,RESIDENTIAL,786.38,1383.3,SHA TIN,20-Sep-22,null
2022/2023,LOT NO. 1078 IN SURVEY DISTRICT NO. 3,Off Anderson Road Kwun Tong Kowloon,TENDER,COMMERCIAL,766,5880,SAI KUNG,31-Aug-22,null
2022/2023,KWAI CHUNG TOWN LOT NO. 531,JUNCTION OF MEI CHING ROAD AND CONTAINER PORT ROAD SOUTH KWAI CHUNG NEW TERRITORIES,TENDER,LOGISTICS SERVICES AND PUBLIC VEHICLE PARK,5256.999999,55245,KWAI TSING,20-Jul-22,null
2022/2023,INLAND LOT NO. 8872,HOSPITAL ROAD HONG KONG,TENDER,RESIDENTIAL,551,499.1,CENTRAL & WESTERN,26-Jul-22,null
2022/2023,RURAL BUILDING LOT NO. 1220,CHUNG HOM KOK HONG KONG,TENDER,EXTERNAL TELECOMMUNICATIONS STATION,180,1836,SOUTHERN,18-Aug-22,null
2022/2023,INLAND LOT NO. 9061,QUEEN’S ROAD EAST WAN CHAI HONG KONG,TENDER,RESIDENTIAL,1962.168,1226.6,WAN CHAI,21-Jun-22,null
2021/2022,INLAND LOT NO. 9088,MAN YIU STREET NEW CENTRAL HARBOURFRONT HONG KONG,TENDER,COMMERCIAL,50800,47967,CENTRAL & WESTERN,3-Nov-21,null
2021/2022,Tung Chung Town Lot No. 45,Area 57 Tung Chung New Territories,TENDER,COMMERCIAL,2778,12335,ISLANDS,31-Mar-22,null
2021/2022,FANLING SHEUNG SHUI TOWN LOT NO. 279,AREA 25 KWU TUNG NEW TERRITORIES,TENDER,RESIDENTIAL,8614,18567,NORTH,27-Apr-21,N.A.
2021/2022,LOT NO. 4076 IN DEMARCATION DISTRICT NO. 91,JUNCTION OF FAN KAM ROAD AND CASTLE PEAK ROAD – KWU TUNG FANLING NEW TERRITORIES,TENDER,RESIDENTIAL,2616.8,4400,NORTH,30-Jun-21,N.A.
2021/2022,INLAND LOT NO. 8945,CAROLINE HILL ROAD CAUSEWAY BAY HONG KONG,TENDER,COMMERCIAL,19778,14802,WAN CHAI,12-May-21,N.A.
2021/2022,FANLING SHEUNG SHUI TOWN LOT NO. 278,AREA 24 KWU TUNG NEW TERRITORIES,TENDER,RESIDENTIAL,4185,7624,NORTH,28-Jul-21,N.A.
2021/2022,RURAL BUILDING LOT NO. 1219,CHUNG HOM KOK HONG KONG,TENDER,EXTERNAL TELECOMMUNICATIONS STATION,427.88,2254,SOUTHERN,9-Mar-22,null
2021/2022,FANLING SHEUNG SHUI TOWN LOT NO. 245,ON KUI STREET FANLING NEW TERRITORIES,TENDER,INDUSTRIAL,297.4,1631.3,NORTH,18-Jan-22,null
2021/2022,TAI PO TOWN LOT NO. 234,TAI PO ROAD – TAI PO KAU TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL,1368,14002,TAI PO,29-Dec-21,null
2021/2022,NEW KOWLOON INLAND LOT NO. 6638,NO. 79 BROADCAST DRIVE KOWLOON TONG KOWLOON,TENDER,RESIDENTIAL,1608.3,2217,KOWLOON CITY,27-Oct-21,null
2021/2022,LOT NO. 1677 IN DEMARCATION DISTRICT NO. 115,JUNCTION OF LAU YIP STREET AND CHUNG YIP ROAD YUEN LONG NEW TERRITORIES,TENDER,RESIDENTIAL,716,15208,YUEN LONG,17-Aug-21,N.A.
2021/2022,RURAL BUILDING LOT NO. 1203,SOUTH BAY ROAD REPULSE BAY HONG KONG,TENDER,RESIDENTIAL,1188.1818,1967,SOUTHERN,15-Feb-22,null
2020/2021,NEW KOWLOON INLAND LOT NO.6615,KAI TAK AREA 2A SITE 4 SITE 5(B) AND SITE 10 KAI TAK KOWLOON,TENDER,COMMERCIAL,---------,---------,KOWLOON CITY,---------,Tender Cancelled on 13 May 2020
2020/2021,TUNG CHUNG TOWN LOT NO. 45,AREA 57 TUNG CHUNG NEW TERRITORIES,TENDER,COMMERCIAL,---------,---------,ISLANDS,---------,Tender Cancelled on 21 October 2020
2020/2021,NEW KOWLOON INLAND LOT NO. 6628,NO. 371 KWUN TONG ROAD KOWLOON,TENDER,PETROL FILLING STATION,691.58,859.7,KWUN TONG,9-Sep-20,N.A.
2020/2021,LOT NO. 1003 IN DEMARCATION DISTRICT NO. 214,HIRAM'S HIGHWAY NEAR HEUNG CHUNG ROAD HO CHUNG SAI KUNG NEW TERRITORIES,TENDER,RESIDENTIAL,531.88,3563,SAI KUNG,26-Aug-20,N.A.
2020/2021,FANLING SHEUNG SHUI TOWN LOT NO. 268,JUNCTION OF ON LOK MUN STREET ON CHUEN STREET AND ON KUI STREET FANLING NEW TERRITORIES,TENDER,INDUSTRIAL,812.94,4028,NORTH,13-Jan-21,N.A.
2020/2021,RURAL BUILDING LOT NO. 1211,NOS. 2 4 6 AND 8 MANSFIELD ROAD THE PEAK HONG KONG,TENDER,RESIDENTIAL,12000,12531,CENTRAL & WESTERN,23-Dec-20,N.A.
2020/2021,RURAL BUILDING LOT NO. 1222,NOS. 9 AND 11 MANSFIELD ROAD THE PEAK HONG KONG,TENDER,RESIDENTIAL,7250,5067,CENTRAL & WESTERN,9-Feb-21,N.A.
2020/2021,NEW KOWLOON INLAND LOT NO. 6603,KAI TAK AREA 4E SITE 1 KAI TAK KOWLOON,TENDER,RESIDENTIAL,4272.8,5548,KOWLOON CITY,2-Dec-20,N.A.
2020/2021,SHA TIN TOWN LOT NO. 629,20 KONG PUI STREET SHA TIN NEW TERRITORIES,TENDER,PETROL FILLING STATION,440.128,703,SHA TIN,9-Sep-20,N.A.
2020/2021,YUEN LONG TOWN LOT NO. 536,90 TAI TONG ROAD YUEN LONG NEW TERRITORIES,TENDER,PETROL FILLING STATION,618.25,702.2,YUEN LONG,9-Sep-20,N.A.
2020/2021,KOWLOON INLAND LOT NO.11238,RECLAMATION STREET AND SHANGHAI STREET MONG KOK KOWLOON,TENDER,RESIDENTIAL,85.9,252.5,YAU TSIM MONG,1-Apr-20,N.A.
2020/2021,TAI PO TOWN LOT NO. 241,TAI PO ROAD – TAI PO KAU TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL,451,6238,TAI PO,28-Oct-20,N.A.
2020/2021,TAI PO TOWN LOT NO. 243,MA WO ROAD TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL,3705.0187,22608,TAI PO,29-Jul-20,N.A.
2020/2021,SHA TIN TOWN LOT NO. 613,JUNCTION OF TSUNG TAU HA ROAD AND KWEI TEI STREET SHA TIN NEW TERRITORIES,TENDER,INDUSTRIAL,5600,9178,SHA TIN,8-Jul-20,N.A.
2020/2021,LOT NO. 1069 IN SURVEY DISTRICT NO. 3,OFF ANDERSON ROAD KWUN TONG KOWLOON,TENDER,RESIDENTIAL,4951,20167,SAI KUNG,19-May-20,N.A.
2020/2021,KOWLOON INLAND LOT NO.11240,JUNCTION OF SOY STREET AND SHANGHAI STREET MONG KOK KOWLOON,TENDER,RESIDENTIAL,467.18,625.5,YAU TSIM MONG,28-Apr-20,N.A.
2020/2021,NEW KOWLOON INLAND LOT NO. 6604,KAI TAK AREA 4E SITE 2 KAI TAK KOWLOON,TENDER,RESIDENTIAL,10280,10948,KOWLOON CITY,17-Feb-21,N.A.
2020/2021,AP LEI CHAU INLAND LOT NO. 137,AP LEI CHAU PRAYA ROAD AP LEI CHAU HONG KONG,TENDER,RESIDENTIAL,1332.8,1128.8,SOUTHERN,27-May-20,N.A.
2020/2021,NEW KOWLOON INLAND LOT NO. 6594,332 TAI PO ROAD KOWLOON,TENDER,PETROL FILLING STATION,125.4,693.8,SHAM SHUI PO,9-Sep-20,N.A.
2019/2020,NEW KOWLOON INLAND LOT NO. 6546,KAI TAK AREA 4C SITE 4 KAI TAK KOWLOON,TENDER,COMMERCIAL / HOTEL,---------,---------,KOWLOON CITY,---------,Tender Cancelled on 25 September 2019
2019/2020,NEW KOWLOON INLAND LOT NO. 6546,KAI TAK AREA 4C SITE 4 KAI TAK KOWLOON,TENDER,COMMERCIAL / HOTEL,---------,---------,KOWLOON CITY,---------,Tender Cancelled on 13 June 2019
2019/2020,RURAL BUILDING LOT NO. 1209,NO. 100 POK FU LAM ROAD POK FU LAM HONG KONG,TENDER,PETROL FILLING STATION,236.006048,850.9,CENTRAL & WESTERN,16-Apr-19,N.A.
2019/2020,NEW KOWLOON INLAND LOT NO. 6577,KAI TAK AREA 4A SITE 1 KAI TAK KOWLOON,TENDER,RESIDENTIAL,12739.8,16385,KOWLOON CITY,24-Jul-19,N.A.
2019/2020,NEW KOWLOON INLAND LOT NO. 6616,NO. 6 KAI FUK ROAD KOWLOON BAY KOWLOON,TENDER,PETROL FILLING STATION,565.252218,1127,KWUN TONG,16-Apr-19,N.A.
2019/2020,NEW KOWLOON INLAND LOT NO. 6614,NO. 590 PRINCE EDWARD ROAD EAST KOWLOON,TENDER,PETROL FILLING STATION,564.002618,747.6,WONG TAI SIN,16-Apr-19,N.A.
2019/2020,NEW KOWLOON INLAND LOT NO. 6622,NO. 592 PRINCE EDWARD ROAD EAST KOWLOON,TENDER,PETROL FILLING STATION,620.38,723.9,WONG TAI SIN,10-Dec-19,N.A.
2019/2020,TUEN MUN TOWN LOT NO. 549,JUNCTION OF KING SAU LANE AND KING FUNG PATH TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL,244.193426,1057.8,TUEN MUN,28-Aug-19,N.A.
2019/2020,NEW KOWLOON INLAND LOT NO. 6607,SHING KAI ROAD ADJOINING KAI TAK SPORTS PARK KAI TAK KOWLOON,TENDER,COMMERCIAL / HOTEL,2445.644,11276,KOWLOON CITY,12-Aug-19,N.A.
2019/2020,NEW KOWLOON INLAND LOT NO. 6553,KAI TAK AREA 4C SITE 1 KAI TAK KOWLOON,TENDER,RESIDENTIAL,12916,9481,KOWLOON CITY,26-Jun-19,N.A.
2019/2020,NEW KOWLOON INLAND LOT NO. 6552,KAI TAK AREA 4C SITE 2 KAI TAK KOWLOON,TENDER,RESIDENTIAL R1,12590,9765,KOWLOON CITY,7-May-19,N.A.
2019/2020,NEW KOWLOON INLAND LOT NO. 6554,KAI TAK AREA 4A SITE 2 KAI TAK KOWLOON,TENDER,RESIDENTIAL,15952.9,18353,KOWLOON CITY,13-Nov-19,N.A.
2019/2020,TUEN MUN TOWN LOT NO. 518,CASTLE PEAK ROAD – CASTLE PEAK BAY AREA 48 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL,3500,13538,TUEN MUN,13-Jan-20,N.A.
2019/2020,TAI PO TOWN LOT NO. 250,1P KWONG FUK ROAD TAI PO NEW TERRITORIES,TENDER,PETROL FILLING STATION,447.85,341.9,TAI PO,10-Dec-19,N.A.
2019/2020,FANLING SHEUNG SHUI TOWN LOT NO. 273,JOCKEY CLUB ROAD FANLING NEW TERRITORIES,TENDER,PETROL FILLING STATION,585.65,557.4,NORTH,10-Dec-19,N.A.
2019/2020,NEW KOWLOON INLAND LOT NO. 6623,NO. 373 KWUN TONG ROAD KOWLOON,TENDER,PETROL FILLING STATION,590.01,863.3,KWUN TONG,10-Dec-19,N.A.
2019/2020,SHA TIN TOWN LOT NO. 628,CHIK CHUEN STREET TAI WAI SHA TIN NEW TERRITORIES,TENDER,PETROL FILLING STATION,643.84,807.8,SHA TIN,10-Dec-19,N.A.
2019/2020,KOWLOON INLAND LOT NO. 11262,JUNCTION OF LIN CHEUNG ROAD AND AUSTIN ROAD WEST KOWLOON,TENDER,COMMERCIAL,42232,59746,YAU TSIM MONG,27-Nov-19,N.A.
2019/2020,INLAND LOT NO. 9076,NO. 135 TAI HANG ROAD HONG KONG,TENDER,RESIDENTIAL,3200,3990,WAN CHAI,18-Dec-19,N.A.
2018/2019,NEW KOWLOON INLAND LOT NO. 6547,KAI TAK AREA 4C SITE 5 KAI TAK KOWLOON,TENDER,COMMERCIAL / HOTEL,---------,---------,KOWLOON CITY,---------,Tender Cancelled on 30 January 2019
2018/2019,RURAL BUILDING LOT NO. 1211,NOS. 2 4 6 8 9 AND 11 MANSFIELD ROAD THE PEAK HONG KONG,TENDER,RESIDENTIAL R3,---------,---------,CENTRAL & WESTERN,---------,Tender Cancelled on16 October 2018
2018/2019,FANLING SHEUNG SHUI TOWN LOT NO. 267,ON CHUEN STREET ON LOK TSUEN FANLING NEW TERRITORIES,TENDER,INDUSTRIAL,732.9,3765,NORTH,25-Jul-18,N.A.
2018/2019,LOT NO. 765 IN DEMARCATION DISTRICT NO. 332,SOUTH LANTAU ROAD CHEUNG SHA LANTAU ISLAND NEW TERRITORIES,TENDER,RESIDENTIAL R4,203.889,2692,ISLANDS,5-Dec-18,N.A.
2018/2019,LOT NO. 766 IN DEMARCATION DISTRICT NO. 332,SOUTH LANTAU ROAD CHEUNG SHA LANTAU ISLAND NEW TERRITORIES,TENDER,RESIDENTIAL R4,160,5503,ISLANDS,30-Oct-18,N.A.
2018/2019,NEW KOWLOON INLAND LOT NO. 6593,KO CHIU ROAD YAU TONG KOWLOON,TENDER,RESIDENTIAL R1,3300,3680,KWUN TONG,15-Aug-18,N.A.
2018/2019,TAI PO TOWN LOT NO. 244,JUNCTION OF YAU KING LANE AND POK YIN ROAD PAK SHEK KOK TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R3,6309.38,32900,TAI PO,15-Feb-19,N.A.
2018/2019,NEW KOWLOON INLAND LOT NO. 6575,KAI TAK AREA 4B SITE 2 KAI TAK KOWLOON,TENDER,RESIDENTIAL R1,8033.88,9048,KOWLOON CITY,27-Dec-18,N.A.
2018/2019,TSEUNG KWAN O TOWN LOT NO. 131,WAN PO ROAD AREA 85 TSEUNG KWAN O NEW TERRITORIES,TENDER,HIGH-TIER DATA CENTRE,5456.0078,27444,SAI KUNG,12-Dec-18,N.A.
2018/2019,NEW KOWLOON INLAND LOT NO. 6591,KAI TAK AREA 4B SITE 4 KAI TAK KOWLOON,TENDER,RESIDENTIAL R1,8906.758888,9708,KOWLOON CITY,14-Nov-18,N.A.
2018/2019,NEW KOWLOON INLAND LOT NO. 6574,KAI TAK AREA 4B SITE 3 KAI TAK KOWLOON,TENDER,RESIDENTIAL R1,8333,9706,KOWLOON CITY,7-Nov-18,N.A.
2018/2019,LOT NO. 2883 IN DEMARCATION DISTRICT NO. 130,FUK HANG TSUEN LANE LAM TEI TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R3,83.19,1748,TUEN MUN,24-Oct-18,N.A.
2018/2019,TSING YI TOWN LOT NO. 192,JUNCTION OF LIU TO ROAD AND HANG MEI STREET TSING YI NEW TERRITORIES,TENDER,RESIDENTIAL R1,867.3,1335.6,KWAI TSING,11-Apr-18,N.A.
2018/2019,NEW KOWLOON INLAND LOT NO. 6576,KAI TAK AREA 4B SITE 1 KAI TAK KOWLOON,TENDER,RESIDENTIAL R1,9893,9583,KOWLOON CITY,27-Mar-19,N.A.
2018/2019,LOT NO. 5382 IN DEMARCATION DISTRICT NO. 116,TAI KEI LENG YUEN LONG NEW TERRITORIES,TENDER,RESIDENTIAL R2,209.8,1119,YUEN LONG,13-Mar-19,N.A.
2018/2019,LOT NO. 738 IN DEMARCATION DISTRICT NO. 332,SOUTH LANTAU ROAD CHEUNG SHA LANTAU ISLAND NEW TERRITORIES,TENDER,RESIDENTIAL R4,1130,20600,ISLANDS,25-Feb-19,N.A.
2018/2019,NEW KOWLOON INLAND LOT NO. 6551,KAI TAK AREA 4C SITE 3 KAI TAK KOWLOON,TENDER,RESIDENTIAL R1,11260,10956,KOWLOON CITY,23-Jan-19,N.A.
2018/2019,KWAI CHUNG TOWN LOT NO. 527,CONTAINER PORT ROAD KWAI CHUNG NEW TERRITORIES,TENDER,PETROL FILLING STATION,545.8,1579.2,KWAI TSING,27-Jun-18,N.A.
2018/2019,TUEN MUN TOWN LOT NO. 544,SIU LANG SHUI ROAD AREA 49 TUEN MUN NEW TERRITORIES,TENDER,LOGISTICS DEVELOPMENT PURPOSES,2750.888888,31667,TUEN MUN,2-May-18,N.A.
2018/2019,NEW KOWLOON INLAND LOT NO. 6568,KAI TAK AREA 1F SITE 1 KAI TAK KOWLOON,TENDER,RESIDENTIAL R1,25161,16556,KOWLOON CITY,15-May-18,N.A.
2017/2018,NEW KOWLOON INLAND LOT NO. 6549,OFF HING WAH STREET WEST CHEUNG SHA WAN KOWLOON,TENDER,RESIDENTIAL R2,17288,19348,SHAM SHUI PO,15-Nov-17,N.A.
2017/2018,NEW KOWLOON INLAND LOT NO. 6572,JUNCTION OF WING HONG STREET YU CHAU WEST STREET AND WING MING STREET CHEUNG SHA WAN KOWLOON,TENDER,BUSINESS,2967.48,2873,SHAM SHUI PO,16-Aug-17,N.A.
2017/2018,INLAND LOT NO.9051,MURRAY ROAD CENTRAL HONG KONG,TENDER,COMMERCIAL,23280,2880,CENTRAL & WESTERN,16-May-17,N.A.
2017/2018,NEW KOWLOON INLAND LOT NO. 6582,LAI CHI KOK ROAD NEAR CHEUNG SHUN STREET CHEUNG SHA WAN KOWLOON,TENDER,COMMERCIAL,4028.8,4171,SHAM SHUI PO,10-May-17,N.A.
2017/2018,KWAI CHUNG TOWN LOT NO. 521,CASTLE PEAK ROAD – KWAI CHUNG KWAI CHUNG NEW TERRITORIES,TENDER,PETROL FILLING STATION,265.3119,828.2,KWAI TSING,26-Apr-17,N.A.
2017/2018,FANLING SHEUNG SHUI TOWN LOT NO. 260,YAT MING ROAD FANLING NEW TERRITORIES,TENDER,PETROL FILLING STATION,237.26,2463,NORTH,26-Apr-17,N.A.
2017/2018,NEW KOWLOON INLAND LOT NO. 6550,OFF HING WAH STREET WEST CHEUNG SHA WAN KOWLOON,TENDER,HOTEL,5060,4880,SHAM SHUI PO,30-Oct-17,N.A.
2017/2018,SHA TIN TOWN LOT NO. 611,WHITEHEAD MA ON SHAN SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R3,1383,4620,SHA TIN,21-Jul-17,N.A.
2017/2018,TUEN MUN TOWN LOT NO. 520,KWUN CHUI ROAD AREA 56 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R2,3168.888889,12205,TUEN MUN,21-Jun-17,N.A.
2017/2018,NEW KOWLOON INLAND LOT NO. 6556,KAI TAK AREA 1F SITE 2 KOWLOON,TENDER,COMMERCIAL / HOTEL,24600.99899,19044,KOWLOON CITY,31-May-17,N.A.
2017/2018,NEW KOWLOON INLAND LOT NO. 6567,KAI TAK AREA 1K SITE 1 KOWLOON,TENDER,RESIDENTIAL R1,7230,9721,KOWLOON CITY,16-May-17,N.A.
2017/2018,TAI PO TOWN LOT NO. 231,YAT YIU AVENUE TAI PO KAU TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R3,323,7660,TAI PO,12-Sep-17,N.A.
2017/2018,SHA TIN TOWN LOT NO. 622,YUEN ON STREET SHA TIN NEW TERRITORIES,TENDER,PETROL FILLING STATION,289.09,1248,SHA TIN,7-Mar-18,N.A.
2017/2018,KWAI CHUNG TOWN LOT NO. 528,99 CASTLE PEAK ROAD – KWAI CHUNG KWAI CHUNG NEW TERRITORIES,TENDER,PETROL FILLING STATION,180.386,1151,KWAI TSING,7-Mar-18,N.A.
2017/2018,TUEN MUN TOWN LOT NO. 540,AREA 30A SAN TAK STREET TUEN MUN NEW TERRITORIES,TENDER,PETROL FILLING STATION,571.105008,810,TUEN MUN,7-Mar-18,N.A.
2017/2018,LOT NO. 1068 IN SURVEY DISTRICT NO. 3,OFF ANDERSON ROAD KWUN TONG KOWLOON,TENDER,RESIDENTIAL R2,3112.8,5354,KWUN TONG,24-Jan-18,N.A.
2017/2018,NEW KOWLOON INLAND LOT NO. 6579,JUNCTION OF LUNG CHEUNG ROAD AND LION ROCK TUNNEL ROAD KOWLOON TONG KOWLOON,TENDER,RESIDENTIAL R2,12451,11262,KOWLOON CITY,16-Jan-18,N.A.
2017/2018,TSUEN WAN TOWN LOT NO. 428,MA KOK STREET TSUEN WAN NEW TERRITORIES,TENDER,INDUSTRIAL,725.8,1972.9,TSUEN WAN,3-Jan-18,N.A.
2017/2018,TUEN MUN TOWN LOT NO. 543,CASTLE PEAK ROAD – TAI LAM TUEN MUN NEW TERRITORIES,TENDER,PETROL FILLING STATION,188.772,1070,TUEN MUN,26-Apr-17,N.A.
2017/2018,FANLING SHEUNG SHUI TOWN LOT NO. 270,SAN LOK STREET HEUNG SHUI NEW TERRITORIES,TENDER,RESIDENTIAL R2,131.3,200.7,NORTH,28-Dec-17,N.A.
2017/2018,LOT NO. 763 IN DEMARCATION DISTRICT NO. 332 LANTAU,CHEUNG SHA LANTAU ISLAND NEW TERRITORIES,TENDER,RESIDENTIAL R4,210,2480,ISLANDS,16-Aug-17,N.A.
2017/2018,KWAI CHUNG TOWN LOT NO. 524,WING KEI ROAD KWAI CHUNG NEW TERRITORIES,TENDER,INDUSTRIAL,450.8,1730.1,KWAI TSING,5-May-17,N.A.
2016/2017,KOWLOON INLAND LOT NO. 11261,PRINCESS MARGARET ROAD KOWLOON,TENDER,PETROL FILLING STATION,368.5,971.4,KOWLOON CITY,21-Dec-16,A single amount of tender premium for the purchase of [KOWLOON INLAND LOT NO. 11261] and [NEW KOWLOON INLAND LOT NO. 6570] collectively as one package.
2016/2017,NEW KOWLOON INLAND LOT NO. 6570,338 TAI PO ROAD KOWLOON,TENDER,PETROL FILLING STATION,368.5,541.2,SHAM SHUI PO,21-Dec-16,A single amount of tender premium for the purchase of [KOWLOON INLAND LOT NO. 11261] and [NEW KOWLOON INLAND LOT NO. 6570] collectively as one package.
2016/2017,NEW KOWLOON INLAND LOT NO. 6565,KAI TAK AREA 1K SITE 3 KOWLOON,TENDER,RESIDENTIAL R1,8837.126,11262,KOWLOON CITY,2-Nov-16,N.A.
2016/2017,LOT NO. 1066 IN DEMARCATION DISTRICT NO. 103,AU TAU YUEN LONG NEW TERRITORIES,TENDER,RESIDENTIAL R3,988.888888,28457,YUEN LONG,30-Aug-16,N.A.
2016/2017,NEW KOWLOON INLAND LOT NO. 6562,KAI TAK AREA 1L SITE 3 KOWLOON,TENDER,RESIDENTIAL R2,5412.346,8803,KOWLOON CITY,19-Dec-16,N.A.
2016/2017,NEW KOWLOON INLAND LOT NO. 6564,KAI TAK AREA 1L SITE 1 KOWLOON,TENDER,RESIDENTIAL R1,5529.7,7318,KOWLOON CITY,25-Jan-17,N.A.
2016/2017,NEW KOWLOON INLAND LOT NO. 6557,KAI TAK AREA 1E SITE 2 KOWLOON,TENDER,COMMERCIAL,7388,14159,KOWLOON CITY,23-Nov-16,N.A.
2016/2017,TAI PO TOWN LOT NO. 227,CHONG SAN ROAD PAK SHEK KOK TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R2,4023.88,28685,TAI PO,17-May-16,N.A.
2016/2017,KWAI CHUNG TOWN LOT NO. 522,JUNCTION OF KWAI CHUNG ROAD AND KWAI ON ROAD KWAI CHUNG NEW TERRITORIES,TENDER,BUSINESS,350.1,567,KWAI TSING,5-May-16,N.A.
2016/2017,AP LEI CHAU INLAND LOT NO. 136,LEE NAM ROAD AP LEI CHAU HONG KONG,TENDER,RESIDENTIAL R1,16855.78,11761,SOUTHERN,24-Feb-17,N.A.
2016/2017,NEW KOWLOON INLAND LOT NO. 6505,KING LAM STREET CHEUNG SHA WAN KOWLOON,TENDER,BUSINESS,7794.38,7728,SHAM SHUI PO,15-Feb-17,N.A.
2016/2017,NEW KOWLOON INLAND LOT NO. 6563,KAI TAK AREA 1L SITE 2 KOWLOON,TENDER,RESIDENTIAL R1,7440.5,9482,KOWLOON CITY,15-Mar-17,N.A.
2016/2017,YAU TONG INLAND LOT NO. 44,JUNCTION OF SHUNG SHUN STREET AND YAN YUE WAI YAU TONG KOWLOON,TENDER,RESIDENTIAL R2,4005.6123,10530,KWUN TONG,3-Aug-16,N.A.
2016/2017,TSING YI TOWN LOT NO. 190,SAI SHAN ROAD TSING YI NEW TERRITORIES,TENDER,RESIDENTIAL R1,938.88,6200,KWAI TSING,31-May-16,N.A.
2016/2017,TUEN MUN TOWN LOT NO. 523,CASTLE PEAK ROAD - TAI LAM TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R2,981.68,7578,TUEN MUN,28-Jun-16,N.A.
2016/2017,KWAI CHUNG TOWN LOT NO. 478,JUNCTION OF WING KEI ROAD AND WING KIN ROAD KWAI CHUNG NEW TERRITORIES,TENDER,INDUSTRIAL,833.88,3707,KWAI TSING,17-Aug-16,N.A.
2016/2017,LOT NO. 2172 IN DEMARCATION DISTRICT NO. 121,TONG YAN SAN TSUEN YUEN LONG NEW TERRITORIES,TENDER,PETROL FILLING STATION,196.625,1709,YUEN LONG,27-Jul-16,N.A.
2016/2017,LOT NO. 981 IN DEMARCATION DISTRICT NO. 226,TSENG LAN SHUE SAI KUNG NEW TERRITORIES,TENDER,PETROL FILLING STATION,118,931,SAI KUNG,27-Jul-16,N.A.
2016/2017,TAI PO TOWN LOT NO. 230,TAI PO ROAD - TAI PO KAU TAI PO KAU TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R3,1182,27735,TAI PO,26-Jul-16,N.A.
2016/2017,TAI PO TOWN LOT NO. 228,FO YIN ROAD PAK SHEK KOK TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R2,1622,10646,TAI PO,13-Jul-16,N.A.
2016/2017,KWAI CHUNG TOWN LOT NO. 517,TAI LIN PAI ROAD KWAI CHUNG NEW TERRITORIES,TENDER,COMMERCIAL,759,1207.8,KWAI TSING,13-Jul-16,N.A.
2016/2017,SHA TIN TOWN LOT NO. 609,TO SHEK SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R2,2364.37,13500,SHA TIN,8-Aug-16,N.A.
